               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.025904,             0.01928,           0.0013267,             0.84387,             0.91373,             0.93842,             0.60462,            0.022125,            0.015253,          0.00034647,            0.006064,            0.006064,            0.006064
                  94,            0.025941,            0.019014,            0.001786,             0.89741,             0.86313,             0.92864,             0.59482,            0.024963,            0.015798,           0.0007526,           0.0059938,           0.0059938,           0.0059938
                  95,             0.02693,            0.019378,           0.0018209,             0.88658,             0.86644,             0.92291,             0.60086,            0.022822,            0.015399,          0.00059998,           0.0059235,           0.0059235,           0.0059235
                  96,            0.026141,             0.01857,           0.0016399,             0.93144,             0.82596,              0.9262,             0.60848,            0.022458,            0.015765,          0.00071368,           0.0058531,           0.0058531,           0.0058531
                  97,            0.025686,            0.018572,           0.0016309,             0.91071,             0.85451,              0.9166,             0.59153,            0.022494,            0.015694,          0.00053734,           0.0057826,           0.0057826,           0.0057826
                  98,            0.025549,             0.01866,           0.0014917,             0.94013,             0.85203,             0.93791,             0.60516,            0.022321,            0.015096,           0.0011661,            0.005712,            0.005712,            0.005712
                  99,            0.025506,            0.018279,           0.0013571,             0.83266,             0.86846,             0.90217,             0.55829,             0.02269,            0.016325,          0.00034342,           0.0056413,           0.0056413,           0.0056413
                 100,            0.024395,            0.018322,           0.0013468,             0.88774,             0.86746,             0.93621,             0.60961,            0.021194,            0.014867,          0.00046936,           0.0055707,           0.0055707,           0.0055707
                 101,            0.025267,            0.018252,           0.0017048,             0.93295,             0.82721,             0.93144,             0.60008,            0.021642,            0.015457,           0.0012582,              0.0055,              0.0055,              0.0055
                 102,            0.025771,            0.018762,           0.0018081,             0.86154,             0.87712,             0.91987,             0.61118,            0.022197,            0.015957,          0.00088121,           0.0054293,           0.0054293,           0.0054293
                 103,            0.025106,            0.017761,            0.001202,             0.89482,              0.8508,             0.93072,             0.60591,            0.021716,            0.015027,          0.00033003,           0.0053587,           0.0053587,           0.0053587
                 104,            0.024578,            0.018132,           0.0014246,             0.87922,             0.92237,              0.9442,             0.63774,            0.021166,            0.014605,          0.00025909,            0.005288,            0.005288,            0.005288
