               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.010633,           0.0034817,          0.00015978,             0.94525,             0.97453,             0.98385,              0.7733,            0.012407,           0.0032424,          0.00018182,           0.0029706,           0.0029706,           0.0029706
                 140,            0.010621,           0.0033336,           0.0001035,             0.95611,             0.97191,             0.98539,             0.77424,            0.012497,           0.0032111,          0.00016903,           0.0029125,           0.0029125,           0.0029125
                 141,            0.010452,           0.0034356,          0.00012936,             0.96858,             0.96575,             0.98576,             0.77174,            0.012565,           0.0031915,          0.00015558,            0.002855,            0.002855,            0.002855
                 142,            0.010344,           0.0033182,          0.00016413,             0.96724,             0.96984,             0.98474,             0.77008,            0.012473,           0.0031869,          0.00021259,           0.0027981,           0.0027981,           0.0027981
                 143,            0.010489,           0.0034121,          0.00014914,             0.95579,              0.9718,             0.98246,             0.77387,            0.012294,           0.0032102,          0.00020504,           0.0027419,           0.0027419,           0.0027419
                 144,            0.010402,           0.0033312,          0.00012401,             0.96178,             0.97176,             0.98203,             0.77815,            0.012315,           0.0032513,           0.0002088,           0.0026864,           0.0026864,           0.0026864
                 145,            0.010401,           0.0032282,          0.00013034,             0.97159,             0.96449,             0.98115,             0.77985,            0.012234,            0.003217,          0.00019885,           0.0026316,           0.0026316,           0.0026316
                 146,            0.010301,           0.0032703,          0.00016778,             0.96678,             0.97036,             0.98434,             0.78679,            0.012368,           0.0032787,           0.0001419,           0.0025775,           0.0025775,           0.0025775
                 147,            0.010364,           0.0033104,          0.00017214,             0.96345,             0.97175,             0.98615,             0.79167,             0.01235,           0.0032889,          0.00010287,           0.0025241,           0.0025241,           0.0025241
                 148,              0.0103,           0.0033277,          0.00019456,             0.96446,              0.9722,             0.98485,             0.78825,            0.012285,           0.0032527,          0.00013221,           0.0024714,           0.0024714,           0.0024714
                 149,            0.010211,           0.0032428,          0.00016226,             0.96851,              0.9762,             0.98635,             0.78045,            0.012237,           0.0032619,          0.00012178,           0.0024195,           0.0024195,           0.0024195
                 150,            0.010152,            0.003201,          9.7183e-05,             0.96593,              0.9751,             0.98487,             0.77848,            0.012217,           0.0032646,          0.00012913,           0.0023684,           0.0023684,           0.0023684
